IN_1;IN_2
20240.8243899386;12.269352545
20305.1374310698;12.0593447124
20368.3501811218;11.8528753516
20430.4814643922;11.6498847657
20491.5497831358;11.4503144334
20551.5733230786;11.2541069848
20610.5699588324;11.0612061776
20668.5572592073;10.8715568723
20725.5524924542;10.6851050087
20781.0172017187;10.5036152622
20836.0884313076;10.323369626
20890.2174835436;10.1461659888
20943.4204777396;9.9719543565
20995.7132574427;9.8006856946
21047.1113951542;9.6323119047
21097.6301969538;9.4667858009
21147.2847070554;9.3040610867
21196.0897123106;9.1440923321
21244.0597465792;8.9868349506
21290.7416176804;8.8337780113
21337.0923189609;8.6817868415
21382.6500390538;8.5323785403
21427.428344796;8.3855116652
21471.4405709142;8.2411455073
21514.6998239898;8.0992400709
21557.2189863747;7.9597560523
21599.0107200158;7.8226548198
21640.0874702269;7.6878983938
21680.461469405;7.5554494274
21719.7512880693;7.4265618487
21758.7623800648;7.298596028
21797.1060615952;7.1728295874
21834.7937511144;7.0492275201
21871.8366717302;6.9277553616
21908.245854518;6.808379174
21944.0321418308;6.6910655289
21979.2061905099;6.5757814927
22013.778475062;6.4624946115
22047.7592907804;6.3511728963
22080.82760704;6.2428692216
22113.6613347696;6.1353647912
22145.9333377376;6.0297325204
22177.6532261821;5.9259421441
22208.8304459128;5.823963799
22239.47428112;5.7237680125
22269.5938571441;5.6253256923
22299.1981431895;5.5286081166
22328.2959550041;5.433586925
22356.8959575018;5.3402341093
22384.7279546238;5.2494310952
22412.3625109706;5.1593163772
22439.5242917182;5.0707883156
22466.2213851916;4.9838202332
22492.4617413269;4.8983857703
22518.2531740451;4.8144588788
22543.6033635632;4.7320138179
22568.5198586921;4.6510251491
22593.0100790884;4.5714677326
22617.0813174538;4.4933167235
22640.5061627201;4.4173085004
22663.7648313804;4.3418834806
22686.6255873066;4.2677923145
22709.095237946;4.1950113087
22731.180474259;4.1235170536
22752.8878727388;4.0532864231
22774.223897346;3.9842965731
22795.1949014582;3.9165249416
22815.8071297418;3.8499492485
22836.0667200362;3.7845474957
22855.7822714404;3.72093483
22875.3579587205;3.6578048917
22894.5987407911;3.5957848079
22913.5103470851;3.5348537128
22932.09840901;3.4749910273
22950.3684616251;3.4161764601
22968.3259452975;3.3583900094
22985.9762073167;3.3016119644
23003.3245034911;3.2458229073
23020.37599971;3.1910037147
23036.969603317;3.1376695949
23053.4454881976;3.0847247148
23069.6394979249;3.0326942959
23085.5564546781;2.9815604085
23101.2010981554;2.9313054262
23116.5780869611;2.8819120283
23131.69200001;2.8333632003
23146.5473378856;2.7856422364
23161.1485241762;2.7387327404
23175.4999068082;2.6926186269
23189.4659023153;2.6477336592
23203.3328178839;2.6031557369
23216.9624914176;2.5593269656
23230.3589815806;2.5162325088
23243.526277604;2.4738578447
23256.4683004814;2.4321887654
23269.1889041356;2.3912113775
23281.6918765669;2.350912101
23293.9809409767;2.3112776693
23306.0597568906;2.2722951277
23317.8142108407;2.234332142
23329.4852728443;2.19660955
23340.9566591309;2.1595019624
23352.2317857769;2.1229976552
23363.3140104095;2.0870852078
23374.2066332499;2.0517535004
23384.9128980532;2.0169917107
23395.4359930971;1.9827893113
23405.7790521156;1.9491360659
23415.9451552563;1.9160220254
23425.8382593568;1.8837607791
23435.6611762817;1.8516912748
23445.316036223;1.8201329008
23454.8057144242;1.789076812
23464.1330369435;1.7585144276
23473.3007815077;1.7284374261
23482.3116783162;1.6988377395
23491.1684108861;1.6697075478
23499.8736168193;1.6410392726
23508.4298886101;1.6128255708
23516.7563918919;1.585334799
23525.0238227958;1.5580047529
23533.1498095676;1.5311086651
23541.13677223;1.5046400664
23548.9870894102;1.4785926894
23556.7030990456;1.4529604612
23564.287099083;1.4277374961
23571.7413481565;1.4029180878
23579.068066265;1.3784967028
23586.2694354274;1.3544679718
23593.2774215987;1.3310611945
23600.2356909027;1.3077984855
23607.0749153566;1.2849132834
23613.7971318002;1.2624008002
23620.4043422309;1.2402563742
23626.8985143971;1.2184754629
23633.2815823803;1.1970536352
23639.5554471668;1.1759865635
23645.7219772279;1.1552700172
23651.7830090594;1.1348998546
23657.6812817753;1.1150706131
23663.5377119962;1.0953777501
23669.2939497876;1.0760193487
23674.9517094478;1.0569915529
23680.5126759258;1.0382905616
23685.9785053546;1.0199126217
23691.350825508;1.0018540226
23696.6312363256;0.9841110895
23701.8213103484;0.9666801783
23706.9225932226;0.9495576694
23711.8868910983;0.932906643
23716.8159737209;0.9163871589
23721.6607306582;0.9001653515
23726.42260468;0.8842376501
23731.1030138588;0.8686004849
23735.7033520083;0.853250283
23740.2249890757;0.8381834649
23744.6692715732;0.8233964408
23749.0375229549;0.808885608
23753.3310440324;0.7946473476
23757.5092720997;0.7808163961
23761.6578621206;0.767109713
23765.7354799488;0.7536646631
23769.743339811;0.7404775419
23773.6826351418;0.7275446195
23777.5545389539;0.7148621393
23781.360204182;0.702426318
23785.1007640265;0.6902333445
23788.7773322926;0.6782793801
23792.3910037211;0.6665605587
23795.9076383338;0.6551867311
23799.3993281314;0.6439242363
23802.8312838589;0.6328851669
23806.2045273844;0.6220655544
23809.5200630886;0.6114614076
23812.7788781549;0.6010687146
23815.9819428788;0.5908834446
23819.1302109471;0.5809015499
23822.22461972;0.5711189685
23825.2660905216;0.5615316267
23828.2258891464;0.5522284706
23831.1646922346;0.5430175029
23834.053219113;0.5339895518
23836.8923297776;0.5251405256
23839.6828695194;0.5164663358
23842.4256691555;0.5079629013
23845.1215452887;0.4996261511
23847.7713005492;0.4914520287
23850.375723837;0.4834364956
23852.9355905495;0.4755755348
23855.4267164053;0.4679415267
23857.9001701088;0.46037632
23860.3313074392;0.4529538436
23862.7208522019;0.4456702064
23865.0695158224;0.4385215582
23867.377997551;0.431504094
23869.6469846835;0.4246140578
23871.8771527578;0.4178477462
23874.0691657496;0.4112015124
23876.2236762936;0.4046717696
23878.3203297308;0.3983186146
23880.4021080101;0.3920102735
23882.4482693602;0.3858080924
23884.4594230002;0.3797087591
23886.4361677297;0.3737090379
23888.3790921115;0.3678057731
23890.2887746447;0.3619958914
23892.1657839358;0.3562764049
23894.0106788692;0.3506444133
23895.8240087747;0.3450971063
23897.5886423665;0.3396860222
23899.3407551512;0.3342992433
23901.0628900164;0.3289893031
23902.755559772;0.3237537695
23904.4192684589;0.3185903088
23906.0545115017;0.3134966871
23907.6617758575;0.3084707708
23909.2415401604;0.3035105276
23910.794274864;0.2986140267
23912.3204423759;0.2937794393
23913.805624445;0.2890524895
23915.2802678116;0.2843360709
23916.7296799901;0.279676703
23918.1542926565;0.2750729608
23919.5545301019;0.2705235186
23920.9308093782;0.2660271494
23922.2835404004;0.261582723
23923.6131260807;0.257189205
23924.9199624483;0.2528456548
23926.2044387505;0.2485512237
23927.4544201616;0.2443473763
23928.6955317978;0.2401485204
23929.9154080151;0.2359967724
23931.1144121911;0.2318916275
23932.2929015069;0.2278326605
23933.4512270168;0.2238195228
23934.5897337904;0.2198519394
23935.7087609904;0.2159297053
23936.808641984;0.2120526827
23937.8897044411;0.208220797
23938.9417352774;0.2044716775
23939.9863015937;0.2007296252
23941.01299605;0.1970328288
23942.0221245324;0.1933814298
23943.0139876832;0.1897756145
23943.9888810038;0.1862156097
23944.947094951;0.1827016788
23945.8889150009;0.1792341178
23946.8146217547;0.1758132511
23947.7244910089;0.1724394277
23948.6099269947;0.1691460452
23949.489081551;0.1658669528
23950.3531954158;0.1626360526
23951.2025260338;0.159453751
23952.0373264471;0.1563204587
23952.8578453581;0.1532365869
23953.6643272223;0.1502025437
23954.4570122981;0.1472187304
23955.2361367452;0.1442855376
23956.0019326662;0.1414033417
23956.7471653486;0.1386005548
23957.4871123833;0.1358208905
23958.2144014522;0.1330932315
23958.9292492122;0.1304178652
23959.631868593;0.1277950491
23960.3224688916;0.1252250079
23961.0012558092;0.1227079312
23961.6684315264;0.1202439708
23962.3241947543;0.1178332383
23962.968740803;0.1154758035
23963.5959803845;0.1131944691
23964.2187721206;0.1109431276
23964.830910913;0.1087450225
23965.4325790543;0.1066000378
23966.0239557094;0.1045080077
23966.6052169738;0.1024687156
23967.1765359242;0.1004818928
23967.7380826639;0.0985472186
23968.2900243882;0.0966643192
23968.8325254246;0.0948327679
23969.3604604646;0.0930696415
23969.8846522991;0.0913387932
23970.3998781588;0.0896577009
23970.9062914089;0.0880257275
23971.4040427915;0.0864421843
23971.893280455;0.0849063323
23972.3741500142;0.0834173827
23972.8467945844;0.0819744982
23973.3113548317;0.0805767948
23973.7679690048;0.0792233429
23974.2123231636;0.0779260598
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
